08A,9,121.200,"MONTGOMERY"
08A,10,120.450,"ATLANTA"
08B,0,0,"Merrymeeting Field"
08B,3,122.800,"MERRYMEETING"
08B,4,122.800,"MERRYMEETING"
08C,0,0,"Riverview"
08C,3,123.000,"RIVERVIEW"
08C,4,123.000,"RIVERVIEW"
08D,0,0,"Stanley Muni"
08D,2,122.900,"STANLEY MUN"
08D,4,122.900,"STANLEY MUN"
08D,10,127.600,"MINNEAPOLIS"
08F,0,0,"City Of Coalgate"
08F,2,122.900,"CITY OF COALGATE"
08F,4,122.900,"CITY OF COALGATE"
08K,0,0,"Harvard State"
08K,2,122.900,"HARVARD STATE"
08K,4,122.900,"HARVARD STATE"
08K,10,119.400,"MINNEAPOLIS"
08K,12,121.225,""
08M,0,0,"Carthage-Leake County"
08M,2,122.900,"CARTHAGE-LEAKE CO"
08M,4,122.900,"CARTHAGE-LEAKE CO"
08N,0,0,"Keller Brothers"
08N,2,122.900,"KELLER BROTHERS"
08N,4,122.900,"KELLER BROTHERS"
08R,0,0,"Richmond"
08R,3,122.800,"RICHMOND"
08R,4,122.800,"RICHMOND"
08U,0,0,"Stevens-Crosby"
08U,2,122.900,"STEVENS CROSBY"
08U,4,122.900,"STEVENS CROSBY"
09A,0,0,"Butler-Choctaw Co"
09A,3,122.800,"BUTLER-CHOCTAW CO"
09A,4,122.800,"BUTLER-CHOCTAW CO"
09A,8,119.200,"MERIDIAN"
09A,9,119.200,"MERIDIAN"
09A,10,120.550,"ATLANTA"
09C,0,0,"Austin Lake"
09C,2,122.900,"AUSTIN LAKE"
09C,4,122.900,"AUSTIN LAKE"
09J,0,0,"Jekyll Island"
09J,3,123.000,"JEKYLL ISLAND"
09J,4,123.000,"JEKYLL ISLAND"
09J,10,126.750,"JACKSONVILLE"
09K,0,0,"Sargent Mun"
09K,2,122.900,"SARGENT MUN"
09K,4,122.900,"SARGENT MUN"
09M,0,0,"Charleston Mun"
09M,2,122.900,"CHARLESTON MUN"
09M,4,122.900,"CHARLESTON MUN"
09N,0,0,"Airhaven"
09N,2,122.900,"AIRHAVEN"
09N,4,122.900,"AIRHAVEN"
09R,0,0,"Tyler Co"
09R,2,122.800,"ACTIVATE LIGHTS ONLY"
09R,2,122.900,"TYLER CO"
09R,4,122.900,"TYLER CO"
09S,0,0,"Sullivan Lake State"
09S,2,122.900,"SULLIVAN LAKE STATE"
09S,4,122.900,"SULLIVAN LAKE STATE"
09T,0,0,"Lazy G Bar Ranch"
09T,2,122.900,"LAZY G BAR RANCH"
09T,4,122.900,"LAZY G BAR RANCH"
0A2,0,0,"Hester Meml"
0A2,2,122.900,"HESTER MEML"
0A2,4,122.900,"HESTER MEML"
0A3,0,0,"Smithville Mun"
0A3,3,122.800,"SMITHVILLE MUN"
0A3,4,122.800,"SMITHVILLE MUN"
0A3,10,132.100,"MEMPHIS"
0A4,0,0,"Johnson City"
0A4,3,122.800,"JOHNSON CITY"
0A4,4,122.800,"JOHNSON CITY"
0A7,0,0,"Hendersonville"
0A7,3,123.000,"HENDERSONVILLE"
0A7,4,123.000,"HENDERSONVILLE"
0A8,0,0,"Bibb Co"
0A8,3,122.800,"BIBB CO"
0A8,4,122.800,"BIBB CO"
0A9,0,0,"Elizabethton Muni"
