'4004
0H1,Trego Wakeeney,0,0,0,0,0,122.90,0,0
0H7,Kahoka Mun,0,0,0,0,0,122.90,0,0
0I2,Brazil Clay County,0,0,0,0,122.80,122.80,118.30,118.30
0I8,Cynthiana-Harrison County,0,0,0,0,122.80,122.90,0,0
0J0,Abbeville Mun,0,0,0,0,122.80,122.80,0,0
0J4,Florala Muni,0,0,0,0,123.00,123.00,133.45,133.45
0J6,Headland Muni,0,0,0,0,0,122.90,125.40,125.40
0J8,Flying Ten,0,0,0,0,0,122.90,0,0
0J9,Flying V,0,0,0,0,0,122.90,0,0
0K6,Dobie's,0,0,0,0,122.90,122.90,0,0
0K7,Humboldt Muni,0,0,0,0,122.80,122.80,0,0
0L4,Lida Junction,0,0,0,0,0,122.90,0,0
0L5,Goldfield,0,0,0,0,0,122.90,0,0
0L7,Jean,0,0,0,0,0,122.90,0,0
0L8,Heart,0,0,0,0,0,122.90,0,0
0L9,Echo Bay,0,0,0,0,122.80,122.80,0,0
0M0,Billy Free Muni,0,0,0,0,122.80,122.80,0,0
0M1,Scott,0,0,0,0,122.80,122.80,0,0
0M2,Reelfoot Lake,0,0,0,0,0,122.90,0,0
0M3,John A Baker Fld,0,0,0,0,122.80,122.80,0,0
0M4,Benton County,0,0,0,0,122.80,122.80,0,0
0M5,Humphreys County,0,0,0,0,122.80,122.80,0,0
0M8,Byerley,0,0,0,0,0,122.90,0,0
0M9,Delhi Mun,0,0,0,0,0,122.90,0,0
0N0,Roosterville,0,0,0,0,122.80,122.80,0,0
0N4,Chandelle Estates,0,0,0,0,122.80,122.70,0,0
0N6,Henderson Aviation,0,0,0,0,123.00,123.00,0,0
0O2,Baker,0,0,0,0,0,122.90,0,0
0O4,Corning Muni,0,0,0,0,123.00,123.00,0,0
0O9,Ward,0,0,0,0,0,122.90,0,0
0OH8,Fry,0,0,0,0,0,0,118.42,118.42
0P1,Van-Pak,0,0,0,0,0,122.90,0,0
0Q3,Sonoma Valley,0,0,0,0,0,122.90,0,0
0Q4,Selma,0,0,0,0,122.80,122.80,0,0
0Q5,Shelter Cove,0,0,0,0,0,122.90,0,0
0Q6,Shingletown,0,0,0,0,0,122.90,0,0
0Q9,Sonoma Skypark,0,0,0,0,122.80,122.80,0,0
0R0,Columbia-Marion County,0,0,0,0,122.80,122.80,0,0
0R1,Atmore Muni,0,0,0,0,122.80,122.80,0,0
0R2,Lincoln Mun,0,0,0,0,0,122.90,0,0
0R4,Concordia Parish,0,0,0,0,122.80,122.90,0,0
0R5,David G Joyce,0,0,0,0,122.70,122.70,132.05,132.05
0R7,The Red River,0,0,0,0,0,122.80,0,0
0R9,Plainville,0,0,0,0,0,122.90,0,0
0S0,Lind,0,0,0,0,0,122.90,0,0
0S1,Meadow Creek Usfs,0,0,0,0,0,122.90,0,0
0S5,Nez Perce Mun,0,0,0,0,0,122.90,0,0
0S7,Dorothy Scott,0,0,0,0,0,122.90,0,0
0S9,Jefferson Co Intl,0,0,0,0,123.00,123.00,0,0
0T3,Twin City,0,0,0,0,0,122.80,0,0
0TX1,Pecan Plantation,0,0,0,0,122.97,0,0,0
0U0,Landmark Usfs,0,0,0,0,0,122.90,0,0
0U1,Warm Springs Creek,0,0,0,0,0,122.90,0,0
0U2,Copper Basin,0,0,0,0,0,122.90,0,0
0U3,Mahoney Creek USFS,0,0,0,0,0,122.90,0,0
0U7,Hollow Top,0,0,0,0,0,122.90,0,0
0U8,May,0,0,0,0,0,122.90,0,0
0U9,Lee Williams Memorial,0,122.35,0,0,0,122.90,0,0
0V3,Pioneer Village,0,0,0,0,122.70,122.70,0,0
0V4,Brookneal-Campbell Co,0,0,0,0,122.70,122.70,125.47,125.47
0V6,Mission Sioux,0,0,0,0,0,122.90,0,0
0V7,Kayenta,0,122.45,0,0,0,122.90,0,0
0VG,Lee Co,0,0,0,0,0,122.90,0,0
0W3,Harford Co,0,0,0,0,122.80,122.80,126.75,126.75
0Y6,Lake Mills Mun,0,0,0,0,0,122.90,0,0
10AK,Hunt Strip,0,122.80,0,0,0,0,0,0
10C,Galt,0,0,0,0,122.80,122.80,120.55,120.55
10CO,Mack Mesa,0,0,0,0,0,122.90,0,0
10D,Winsted Muni,0,0,0,0,0,122.90,0,0
10F,Rosser Ranch,0,0,0,0,0,122.90,0,0
10G,Holmes County,0,128.32,0,0,123.00,123.40,0,0
10U,Owyhee,0,0,0,0,0,122.90,0,0
11A,Clayton Muni,0,118.77,0,0,0,122.90,121.10,121.10
11G,Johnson Field,0,0,0,0,0,122.90,0,0
11K,Stromsburg Mun,0,0,0,0,0,122.90,0,0
11M,Fulton-Itawamba Co,0,0,0,0,0,122.90,0,0
11N,Candlelight Farms,0,0,0,0,0,122.90,0,0
11R,Brenham Muni,0,121.12,0,0,123.07,123.07,0,0
11S,Sekiu,0,0,0,0,0,122.90,0,0
11V,Easton,0,0,0,0,0,122.90,0,0
11Z,Lignite,0,0,0,0,0,122.80,0,0
12D,Tower Muni,0,0,0,0,0,122.90,0,0
12G,Shelby Community,0,0,0,0,122.80,122.80,124.20,124.20
12J,Brewton Mun,0,0,0,0,123.00,123.00,0,0
12K,Superior Muni,0,0,0,0,123.00,123.00,0,0
12LS,Hains,0,0,0,0,0,122.90,0,0
12N,Aeroflex-Andover,0,122.10,0,0,122.80,122.85,127.60,127.60
12S,Monument Muni,0,0,0,0,0,122.90,0,0
12V,Ona Airpark,0,0,0,0,122.80,122.80,124.10,119.75
12Y,Le Sueur Muni,0,0,0,0,0,122.80,0,0
13AK,Satterbergs,0,122.80,0,0,0,0,0,0
13C,Lakeview-Griffith,0,121.12,0,0,122.80,122.80,124.60,124.60
13K,Lt William M Milliken,0,0,0,0,122.80,122.80,0,0
13N,Trinca,0,0,0,0,122.80,122.80,0,0
13PA,Rigrtona,0,0,0,0,0,0,121.00,121.00
13Q,Jewett Mesa,0,0,0,0,0,122.90,0,0
13W,Camano I,0,0,0,0,0,122.90,0,0
13Y,Littlefork Muni/Hanover,0,0,0,0,0,122.90,0,0
14A,Lake Norman Airpark,0,0,0,0,122.80,122.80,0,0
14AK,Four Corners,0,122.80,0,0,0,0,0,0
14G,Fremont,0,0,0,0,122.80,122.80,126.10,126.10
14I,Bloom,0,0,0,0,0,122.90,0,0
14J,Carl Folsom,0,0,0,0,0,122.90,0,0
14M,Hollandale Mun,0,0,0,0,0,122.70,0,0
14ME,Ring Hill,0,0,0,0,0,122.90,0,0
14N,Beltzville,0,0,0,0,0,122.90,0,0
14S,Westport,0,0,0,0,0,122.90,0,0
14TS,O S Wyatt,0,0,0,0,129.95,0,0,0
14Y,Todd Field,0,0,0,0,0,122.90,0,0
15A,Mark Reynolds/North Mobile County Airport,0,0,0,0,122.80,122.80,0,0
15F,Haskell Mun,0,0,0,0,0,122.80,0,0
15G,Weltzien Skypark,0,0,0,0,123.05,123.05,0,0
15J,Cook County,0,0,0,0,122.80,122.80,119.52,119.52
15M,Iuka,0,0,0,0,0,122.90,0,0
15N,Jenkins,0,0,0,0,122.80,122.70,0,0
16AK,Gattis Strip,0,122.80,0,0,0,0,0,0
16D,Perham Mun,0,0,0,0,0,122.90,0,0
16G,Seneca County,0,124.42,0,0,123.00,123.00,120.80,120.80
16J,Dawson Muni,0,0,0,0,122.80,122.80,0,0
16S,Myrtle Creek Mun,0,0,0,0,122.70,122.70,0,0
16TX,Hamlin Muni,0,0,0,0,0,122.90,0,0
16W,Little Goose Lock & Dam,0,0,0,0,0,122.90,0,0
17FL,Greystone,0,0,0,0,122.70,0,0,0
17G,Port Bucyrus-Crawford County,0,0,0,0,122.80,122.80,124.20,124.20
17J,Donalsonville Muni,0,0,0,0,0,122.90,125.40,125.40
17K,Boise City,0,0,0,0,0,122.90,0,0
17M,Magee Muni,0,0,0,0,122.80,122.80,0,0
17N,Cross Keys,0,0,0,0,122.80,122.80,127.35,127.35
17S,Chehalem,0,0,0,0,0,122.90,0,0
17U,Garn,0,0,0,0,123.00,123.00,0,0
17V,Haxtun Muni,0,0,0,0,0,122.90,0,0
17Z,Manokotak,0,0,0,0,0,122.90,0,0
18A,Franklin County,0,0,0,0,0,122.90,0,0
18AZ,Sky Ranch At Carefree,0,125.62,0,0,122.72,0,0,0
18K,Fowler,0,0,0,0,0,122.90,0,0
18NV,Empire,0,122.90,0,0,0,0,0,0
18T,Tatum,0,0,0,0,0,122.90,0,0
18V,Platte Valley,0,0,0,0,0,122.90,0,0
18Y,Milaca Muni,0,0,0,0,0,122.90,0,0
19AR,Naylor Field,0,0,0,0,122.80,0,0,0
19M,C A Moore,0,0,0,0,0,122.90,0,0
19MT,N Bar Ranch,0,120.00,0,0,0,0,0,0
19N,Camden County,0,0,0,0,123.00,123.00,120.25,120.25
19S,Sublette Muni,0,0,0,0,0,122.90,0,0
1A0,Dallas Bay,0,0,0,0,123.00,123.00,0,0
1A1,Green Acres,0,0,0,0,0,122.90,0,0
1A2,Arthur,0,0,0,0,0,122.90,0,0
1A3,Martin Campbell Field,0,0,0,0,0,122.90,0,0
1A5,Macon County,0,118.22,0,0,123.05,123.05,0,0
1A6,Middlesboro-Bell County,0,119.42,0,0,122.80,122.80,0,0
1A7,Jackson County,0,0,0,0,0,122.90,0,0
1A9,Prattville - Grouby Field,0,0,0,0,122.80,122.80,121.20,121.20
1AK6,Talachulitna River,0,122.90,0,0,0,0,0,0
1B0,Dexter Rgnl,0,0,0,0,122.80,122.80,125.30,125.30
1B1,Columbia County,0,133.52,0,0,122.80,122.80,125.00,125.00
1B2,Katama,0,0,0,0,122.80,122.80,0,0
1B3,Fair Haven Mun,0,0,0,0,0,122.90,0,0
1B4,Kamp,0,122.10,0,0,122.80,122.80,120.92,120.92
1B5,Franconia,0,0,0,0,122.80,122.80,0,0
